id,name,address,photo_count
"f9032b1d-f5cb-47f5-83d0-f1b4b767ed14","Hopscotch","45 Malan Rd, Singapore 109455",0
"4fb5f07d-41f2-45e5-a1e9-adc21da9004d","Founder Bak Kut Teh","48 JALAN TAMAN, Singapore 328994",0
"48be13af-af45-4b87-a66b-82d7f3310d57","WellSmoocht","319 Jurong East Street 31, #01-58, Singapore 600319",0
"c8d0305b-343e-49b9-ab60-8e22ae8639f8","Hong Heng Carrot Cake","Block 216 Bedok",0
"3f9133d6-038f-4261-83c5-ad5d60b9548b","Onalu","60 Stamford Rd, #01-11, Singapore 178900",0
"05a017a4-e2e8-4da9-8f9a-6525e6bd7158","Swee Guan Hokkien Mee","44 OWEN ROAD, Singapore 210044",0
"93675e51-b42c-4c62-a6ba-503f638e282b","Keisuke Tonkotsu King","24 RAFFLES PLACE, Singapore 048621",0
"4312d106-e35a-4317-a65b-de8f84f99735","Tai Wah Pork Noodle","3 WALLICH STREET, GUOCO TOWER, Singapore 078882",0
"c2b87f6a-2727-4d62-86f0-db49d039e945","Selera Rasa Nasi Lemak","18 GHIM MOH ROAD, Singapore 270018",0
"d3365562-21d0-41c9-b04e-b3f58aa45ede","Wooloomooloo Steakhouse","6 BATTERY ROAD, SIX BATTERY ROAD, Singapore 049909",0
"e22b2331-d9a6-4afb-8588-39516f1c3b1e","The Roti Prata House","114 SERANGOON AVENUE 3, BETHESDA (BUKIT ARANG) KINDERGARTEN, Singapore 556110",0
"54b6dd01-a673-4c30-a843-88d95bbc2561","Foong Kee Coffee Shop","45 NEIL ROAD, TANJONG PAGAR CONSERVATION AREA, Singapore 088826",0
"b1ddfda4-1ef6-402a-8cb1-5fd61b77310e","No 18 Zion Road Fried Kway Teow","12 JERVOIS HILL, Singapore 247726",0
"5db72867-5dfd-426e-8839-11f0583840d0","Chin Chin Eating House","33 BIRCH ROAD, PENTA HOTEL, Singapore 219894",0
"10f7f6c9-2156-4566-8303-dd361fbc589e","Wang Dae Bak","45 NEIL ROAD, TANJONG PAGAR CONSERVATION AREA, Singapore 088826",0
"bd602ad8-5332-491e-a8c0-99c7551267ff","Song Fa Bak Kut Teh","137 MARKET STREET, GRACE GLOBAL RAFFLES, Singapore 048943",0
"5dbf314e-d260-4a17-99ce-25aebaa14366","Kanshoku Ramen","391 ORCHARD ROAD, NGEE ANN CITY, Singapore 238872",0
