[dotenv@17.2.3] injecting env (6) from .env.local -- tip: ⚙️  enable debug logging with { debug: true },,,,,,,,,,
id,name,station_id,lat,lng,distance_m,walking_min,issue,Address,,
3d381310-39c2-4db0-a28c-819c5e90683a,Xin Fu Ji Seafood,pasir-panjang,1.2765,103.789,2423,29,Far from station (2.4km),,,
f83655ce-398a-4163-9aec-042044668d99,Pastapedia,pasir-panjang,1.2765,103.789,2423,29,Far from station (2.4km),,,
a38ac185-8ebb-4795-a192-a1f42122accf,The French Ladle,dover,1.320433,103.7789611,2410,29,Far from station (2.4km),,,
8806bb52-f008-4868-b9c5-7bbbe0a5bbe8,Lawa Bintang,tampines-east,1.356,103.97,2400,29,Far from station (2.4km),,,
c4b4da25-d4ac-4c78-b4af-62b1aefbee6e,Nature Vegetarian Delights Restaurant,bakau,1.3865865,103.909839,2397,29,Far from station (2.4km),,,
e67fe9ca-6e17-493a-8e4f-147b447400d8,Famous JB 101,bukit-batok,1.3370671,103.7595727,2358,28,Far from station (2.4km),,,
8de257c7-9b82-4906-8997-80d6a8d542f8,Cafe Colbar,commonwealth,1.2938071,103.7964379,2282,27,Far from station (2.3km),,,
0191b2d4-6cce-40be-8e54-0fa21cf5e1da,E-Sarn Thai Cuisine,pasir-panjang,1.277,103.7875,2246,27,Far from station (2.2km),,,
9cf3713c-0865-445b-b3f3-38ec419a8769,Lai Heng Teochew Kueh,jurong-east,1.3451582,103.7311231,2219,27,Far from station (2.2km),,,
fa2ccce6-2d3e-43f7-b8f4-6b0f90a2db24,The Wildseed Cafe,thanggam,1.408023178,103.8682667,2216,27,Far from station (2.2km),,,
0dc1211d-8d39-437f-b9be-2153b5378082,The Summerhouse,thanggam,1.408023178,103.8682667,2216,27,Far from station (2.2km),,,
8b320dfd-d6e7-4c0d-8219-cff196b37b84,Xing Yun Chicken Rice,jurong-east,1.3450807,103.7310759,2212,27,Far from station (2.2km),,,
3ef0760c-5981-4dce-b512-987ae190e532,Rounding,ang-mo-kio,1.37255207,103.8665681,2172,26,Far from station (2.2km),,,
11a3ed22-9edc-4c7f-8a60-40b7b09eeed2,Rasa Istimewa Waterfront Restaurant,woodlands,,,2124,null,Far from station (2.1km),,,
bbc6822e-845e-487c-a122-954132461916,Anshun Fish Soup,bartley,1.349122175,103.8890933,2120,25,Far from station (2.1km),,,
dc264c6d-3b07-484b-accf-074227b52c89,Chingu @ The Oval,thanggam,1.4081511,103.8665335,2099,25,Far from station (2.1km),,,
89606f45-e486-4866-9681-e766251894ac,Tian Tian Chi Su,bukit-batok,1.3386674,103.7592394,2054,25,Far from station (2.1km),,,
b1ddfda4-1ef6-402a-8cb1-5fd61b77310e,No 18 Zion Road Fried Kway Teow,orchard-boulevard,1.297429915,103.819925,2054,25,Far from station (2.1km),,,
4f0dfef8-fbd2-43f7-8deb-2c92eb30971c,Broadway Canteen,gul-circle,1.3141667,103.6622222,2043,25,Far from station (2.0km),,,
301f95e4-5af8-4ff8-bda4-b4a4b978bb9b,Kelim Dakdoritang,lorong-chuan,1.365217627,103.8661052,2016,24,Far from station (2.0km),,,
690ffd13-8e93-4b39-a1cd-55f8d156d0b5,TopTable,fort-canning,,,650,,No coordinates,,,
cd8f8b65-26b1-45a2-ab29-fef3f2dc52c1,One Prawn & Co,fort-canning,,,606,,No coordinates,,,
f4500efb-2729-4eff-9c09-87ad23e2366d,Famous Eunos Bak Chor Mee,eunos,,,199,,No coordinates,,,
84cc1456-1495-4625-b930-09afb5148565,Allauddin's Briyani,little-india,,,174,,No coordinates,,,
1f5c7755-2549-4194-9c97-ce27e2e1acf6,Dim Sum Express,braddell,,,213,,No coordinates,,,
e5401d9f-d08e-4821-a04b-d153e2300181,Jade 玉楼,raffles-place,,,340,,No coordinates,,,
afbbc674-ef71-4214-a444-5492152cd4ef,Bloom Artisan,null,,,,,No coordinates,,,
2498c607-66cc-4097-94bb-a2eb4c43c8da,Danger Close Beverage Co.,null,,,,,No coordinates,,,
7853773c-b14a-4985-9b43-0ec29b91c296,Dearborn,fort-canning,,,630,,No coordinates,,,
0f266d19-e677-4e3a-891b-431079ffe1d1,Hjh Maimunah,bugis,,,400,,No coordinates,,,
408d6060-990b-4a70-85af-f1bdc260b4de,Face Ban Mian,null,,,,,No coordinates,,,
dd9f9a86-5c16-473b-95e7-f552f40951ab,Jia Li Seafood Soup,null,,,,,No coordinates,,,
83ba0319-0cbb-4e35-9a06-002fb8f7fa28,KKI Sweets,null,,,,,No coordinates,,,
10973508-5f02-443d-975b-f56d89c3ceec,Mangiamo Pizzeria,null,,,,,No coordinates,,,
a11c11f9-8dd4-450e-a55e-b89bf35ebebc,Gandhi Restaurant,null,,,,,No coordinates,,,
1828ef9e-b671-46f2-9ca3-213a332fd7f3,Macpherson Minced Meat Noodles,potong-pasir,,,351,,No coordinates,,,
078a8006-4771-44b0-9eb1-78982a356040,Humpback,outram-park,,,193,,No coordinates,,,
a0fb57c3-aaf7-411c-9863-20d2743d2d30,L'eclair Patisserie,dhoby-ghaut,,,230,,No coordinates,,,
11a3ed22-9edc-4c7f-8a60-40b7b09eeed2,Rasa Istimewa Waterfront Restaurant,woodlands,,,2124,,No coordinates,,,
f583fe33-65ef-487d-9d23-d498997a0c63,One Fattened Calf,one-north,,,102,,No coordinates,,,
0f11c954-633f-4b0e-9875-2bb75f1e0f2d,Prince Noodles,null,,,,,No coordinates,,,
7c5f127b-db61-490a-adfd-01dd04fbacb2,Summer Pavilion,promenade,,,299,,No coordinates,,,
dce1a635-c04d-4e98-8bf9-9e408c9b3ff1,The Patio (Fro Roll),null,,,,,No coordinates,,,
f6a503d3-f539-4b56-9767-0455854cfc25,Shinji By Kanesaka,orchard,,,667,,No coordinates,,,
5f84da5c-0839-4863-a4ca-68f647b1c591,Dolc Patisserie,null,,,,,No coordinates,,,
