Station,Name 1,Address 1,Name 2,Address 2,Shared Words
"Havelock","Jian Bo Tiong Bahru Shui Kueh","30 Seng Poh Rd, #02-05","Plain Vanilla (Tiong Bahru)","1D Yong Siak Street, Singapore 168641","tiong, bahru"
"Havelock","Tiong Bahru Bakery","N/A","Tiong Bahru Hainanese Boneless Chicken Rice","30 Seng Poh Rd, #02-82 Market","tiong, bahru"
"Havelock","Tiong Bahru Bakery","N/A","Plain Vanilla (Tiong Bahru)","1D Yong Siak Street, Singapore 168641","tiong, bahru"
"Havelock","Tiong Bahru Hainanese Boneless Chicken Rice","30 Seng Poh Rd, #02-82 Market","Plain Vanilla (Tiong Bahru)","1D Yong Siak Street, Singapore 168641","tiong, bahru"
"Holland Village","Sourbombe Bakery","7 Holland Village Way, #01-27, One Holland Village, Singapore 275748","Sourbombe Artisinal Bakery","7 Holland Vlg Wy, #01-27, Singapore 275748","sourbombe, bakery"
"Hougang","Denzy Gelato","684 Hougang Ave 8, #01-953, Singapore 530684","Denzy Gelato","506 Bishan St 11, #01-404, S570506","denzy, gelato"
"Kovan","Ah Kow Mushroom Minced Pork Mee","628 HOUGANG AVENUE 8, Singapore 530628","Lorong Ah Soo Lor Mee","105 Hougang Ave 1, #02-51, Hainanese Village Centre","ah, mee"
"Kovan","Yi Liu Xiang Nasi Lemak","105 Hougang Ave 1, #02-30, Singapore 530105","Ponggol Nasi Lemak","965 Upper Serangoon Rd, Singapore 534721","nasi, lemak"
"Little India","Allauddin's Briyani","6665 Buffalo Rd, #01-232 & #01-229, Singapore 210665","Allauddin's Briyani (Tekka)","665 Buffalo Road, #01-267, Tekka Centre","allauddin, briyani"
"Little India","Allauddin's Briyani","6665 Buffalo Rd, #01-232 & #01-229, Singapore 210665","Allauddin Briyani","665 Buffalo Rd, Tekka Centre, Singapore 210665","allauddin, briyani"
"Marine Parade","Katong Mei Wei Boneless Chicken Rice","865 Mountbatten Road, #B1-85/87, Katong Shopping Centre, Singapore 437844","Five Star Kampung Chicken Rice","191 East Coast Road, Singapore 428897","chicken, rice"
"Marine Parade","Katong Mei Wei Boneless Chicken Rice","865 Mountbatten Road, #B1-85/87, Katong Shopping Centre, Singapore 437844","Rong Ji Chicken Rice & Porridge","271 Onan Rd, #02-13, Singapore 424768","chicken, rice"
"Marine Parade","Five Star Kampung Chicken Rice","191 East Coast Road, Singapore 428897","Rong Ji Chicken Rice & Porridge","271 Onan Rd, #02-13, Singapore 424768","chicken, rice"
"Maxwell","Supulae Korean BBQ","80 Tanjong Pagar Road, Singapore 088501","MIMI Korean BBQ Restaurant","2 Peck Seah Street, #01-01, Air View Building, Singapore 079305","korean, bbq"
"Maxwell","Ah Tai Chicken Rice","1 Kadayanallur Street, #01-07, Maxwell Food Centre, Singapore 069184","Liao Fan Hong Kong Soya Sauce Chicken Rice","335 SMITH STREET, CHINATOWN COMPLEX, Singapore 050335","chicken, rice"
"Maxwell","Ah Tai Chicken Rice","1 Kadayanallur Street, #01-07, Maxwell Food Centre, Singapore 069184","Loy Kee Chicken Rice","30 SAGO STREET, KRETA AYER CONSERVATION AREA, Singapore 059024","chicken, rice"
"Maxwell","Don Dae Bak","35 Kreta Ayer Road, Singapore 089000","Wang Dae Bak","45 NEIL ROAD, TANJONG PAGAR CONSERVATION AREA, Singapore 088826","dae, bak"
"Maxwell","Gogi Buffet Korean BBQ","22 Tanjong Pagar Road, Singapore 088445","MIMI Korean BBQ Restaurant","2 Peck Seah Street, #01-01, Air View Building, Singapore 079305","korean, bbq"
"Maxwell","Charim Korean BBQ","65 Tanjong Pagar Road, Singapore 088486","MIMI Korean BBQ Restaurant","2 Peck Seah Street, #01-01, Air View Building, Singapore 079305","korean, bbq"
"Maxwell","Liao Fan Hong Kong Soya Sauce Chicken Rice","335 SMITH STREET, CHINATOWN COMPLEX, Singapore 050335","Loy Kee Chicken Rice","30 SAGO STREET, KRETA AYER CONSERVATION AREA, Singapore 059024","chicken, rice"
"Maxwell","Liao Fan Hong Kong Soya Sauce Chicken Rice","335 SMITH STREET, CHINATOWN COMPLEX, Singapore 050335","Tian Tian Hainanese Chicken Rice","1 Kadayanallur St, #01-10/11 Maxwell Food Centre","chicken, rice"
"Maxwell","Loy Kee Chicken Rice","30 SAGO STREET, KRETA AYER CONSERVATION AREA, Singapore 059024","Tian Tian Hainanese Chicken Rice","1 Kadayanallur St, #01-10/11 Maxwell Food Centre","chicken, rice"
"Orchard","Thai Tantric Authentic Thai Cuisine","400 Orchard Road, #03-44, Orchard Towers, Singapore 238875","Thai Village Restaurant","22 Scotts Rd, Goodwood Park Hotel, Singapore 228221","thai, thai"
"Outram Park","Shake Shack Outram","89 Neil Road #01-01, Singapore 088849","Shake Shack","100AM Mall","shake, shack"
"Outram Park","Baker's Bench Bakery","6 Bukit Pasoh Road, Singapore 089820","Baker's Bench","Tanjong Pagar","baker, bench"
"Outram Park","Ka-Soh","Keong Saik Road","Ka-Soh Restaurant","2 College Road, Singapore 169850","ka, soh"
"Queenstown","Liu Liang Mian","321 Alexandra Rd, #01-03 Outside Alexandra Mall, Singapore 159971","Liu Lang Mian","Alexandra Retail Centre, Singapore","liu, mian"
"Queenstown","Ar Er Soup","6 Jalan Bukit Merah, #01-141","Ah Er Soup","ABC Brickworks #01-143","er, soup"
"Redhill","Lan Xiang Ban Mian","163 Bukit Merah Central, #02-06","He Jia Huan Ban Mian (Redhill)","85 Redhill Ln, #01-69, Singapore 150085","ban, mian"
"Sengkang","Nakhon Kitchen (Compass One)","1 Sengkang Square, #02-30, Compass One, Singapore 545078","Nakhon Kitchen","212 Hougang St 21 #01-341","nakhon, kitchen"
"Somerset","Kiseki Japanese Buffet Restaurant","181 Orchard Road, #08-01/02/03, Orchard Central, Singapore 238896","Suju Japanese Restaurant","333A Orchard Rd, Mandarin Gallery #04-05, Singapore 238897","japanese, restaurant"
"Telok Ayer","Dal In Korean Restaurant","17 Boon Tat St","SOT Korean Restaurant","177 Telok Ayer Street, Singapore 068625","korean, restaurant"
"Telok Ayer","Dal In Korean Restaurant","17 Boon Tat St","SODENG Korean Restaurant","175 Telok Ayer Street, Singapore 068623","korean, restaurant"
"Telok Ayer","Dal In Korean Restaurant","17 Boon Tat St","Hyang Yeon Korean Restaurant","128 Telok Ayer Street, #01-01, Singapore 068597","korean, restaurant"
"Telok Ayer","Uptown Nasi Lemak","121 Telok Ayer Street, #01-01, Singapore 068590","Market Street HC - Nasi Lemak","86 Market St, CapitaSpring, S048947","nasi, lemak"
"Tiong Bahru","Tiong Bahru Market","30 JALAN KLINIK, Singapore 160030","Jia Li Seafood Soup (Tiong Bahru)","302 Tiong Bahru Rd, #B1-135, Singapore 168732","tiong, bahru"
"Toa Payoh","Ah Kow Mushroom Minced Pork Mee","Singapore","Lai Heng Mushroom Minced Meat Noodles","01-611 Lor 4 Toa Payoh, Singapore 310073","mushroom, minced"
"Toa Payoh","Da Ji Hainanese Chicken Rice","75 Lor. 5 Toa Payoh, #01-31, Singapore 310075","Loy Kee Chicken Rice","342 Balestier Rd, Singapore 329774","chicken, rice"
"Toa Payoh","Kim Keat Hokkien Mee","26 TOA PAYOH EAST, Singapore 310026","Balestier Road Hokkien Mee","Balestier Road area","hokkien, mee"
"Toa Payoh","Xiang Ji Chicken Rice","73 Lor 4 Toa Payoh, Singapore 310073","Loy Kee Chicken Rice","342 Balestier Rd, Singapore 329774","chicken, rice"
"Upper Thomson","Sin Ming Roti Prata","24 Sin Ming Road, #01-51, Gim Huat Coffeeshop, Singapore 570024","The Roti Prata House","246 Upper Thomson Rd, Singapore 574370","roti, prata"
